{timestamp: 2018-11-28T09:49:24.353Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:50:47.047Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:51:34.768Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:52:48.648Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:13.714Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:38.097Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:51.109Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:58:45.548Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:59:32.055Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:00:29.276Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:00:35.196Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:02:08.183Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:02:10.491Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:04:02.803Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:04:10.048Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:07:19.747Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:07:25.524Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:13:41.409Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:08.968Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:16.604Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:21.148Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:16:38.674Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:16:49.773Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:16:56.943Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:21:12.284Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:22:35.473Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:23:22.931Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:23:27.580Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:29:27.723Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:30:09.816Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:30:31.174Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:32:48.103Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:33:25.778Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:33:34.725Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:34:14.926Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:34:36.189Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:28.836Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:33.121Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:35.524Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:40:31.376Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:40:43.300Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:41:12.340Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:43:09.143Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:46:00.666Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:08.985Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:21.571Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:44.189Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:48:13.185Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:48:46.113Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:50:13.766Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:50:46.426Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:58:56.365Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:59:18.451Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:59:52.031Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:18:22.090Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:22:30.617Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:36.436Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:44.085Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:59.605Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:24:38.010Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:26:23.114Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:27:16.812Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:28:18.895Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:28:52.605Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:29:23.526Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:02.328Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:05.694Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:26.078Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:31:14.486Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:31:51.965Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:16.717Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:26.068Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:59.669Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:35:01.129Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:56:24.528Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:58:14.310Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:00:55.125Z, level: info, message: server started on port 4040 (development)}
