{timestamp: 2018-11-28T10:29:27.722Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:30:09.816Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:30:31.173Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:32:48.102Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:33:25.777Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:33:34.725Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:34:14.925Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:34:36.188Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:28.836Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:33.120Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:39:35.523Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:40:31.375Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:40:43.299Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:41:12.340Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:43:09.142Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:46:00.665Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:08.985Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:21.571Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:47:44.189Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:48:13.185Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:48:46.113Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:50:13.766Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:50:46.425Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:58:56.364Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:59:18.450Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:59:52.030Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:18:22.090Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:22:30.616Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:36.435Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:44.085Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:23:59.604Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:24:38.010Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:26:23.114Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:27:16.812Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:28:18.894Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:28:52.605Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:29:23.526Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:02.328Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:05.693Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:30:26.078Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:31:14.486Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:31:51.964Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:16.716Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:26.068Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:32:59.669Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:35:01.129Z, level: info, message: server started on port 4040 (development)}
